Unnamed: 0,spotId,raster,x,y,z,class,Date,roi,tissue_id,L.Lactic.acid_.M.Hm0,L.Lactic.acid_.M.Hm1,L.Lactic.acid_.M.Hm2,L.Lactic.acid_.M.Hm3,L.Malic.acid_.M.Hm0,L.Malic.acid_.M.Hm1,L.Malic.acid_.M.Hm2,L.Malic.acid_.M.Hm3,L.Malic.acid_.M.Hm4,L.Glutamine_.M.Hm0,L.Glutamine_.M.Hm1,L.Glutamine_.M.Hm2,L.Glutamine_.M.Hm3,L.Glutamine_.M.Hm4,L.Glutamine_.M.Hm5,L.Glutamic.acid_.M.Hm0,L.Glutamic.acid_.M.Hm1,L.Glutamic.acid_.M.Hm2,L.Glutamic.acid_.M.Hm3,L.Glutamic.acid_.M.Hm4,L.Glutamic.acid_.M.Hm5,Citric.acid_.M.Hm0,Citric.acid_.M.Hm1,Citric.acid_.M.Hm2,Citric.acid_.M.Hm3,Citric.acid_.M.Hm4,Citric.acid_.M.Hm5,Citric.acid_.M.Hm6,D.Glucose_.M.Clm0,D.Glucose_.M.Clm1,D.Glucose_.M.Clm2,D.Glucose_.M.Clm3,D.Glucose_.M.Clm4,D.Glucose_.M.Clm5,D.Glucose_.M.Clm6,Glutathione_.M.Hm0,Glutathione_.M.Hm1,Glutathione_.M.Hm2,Glutathione_.M.Hm3,Glutathione_.M.Hm4,Glutathione_.M.Hm5,Glutathione_.M.Hm6,Glutathione_.M.Hm7,Glutathione_.M.Hm8,Glutathione_.M.Hm9,Glutathione_.M.Hm10,Adenosine.monophosphate_.M.Hm0,Adenosine.monophosphate_.M.Hm1,Adenosine.monophosphate_.M.Hm2,Adenosine.monophosphate_.M.Hm3,Adenosine.monophosphate_.M.Hm4,Adenosine.monophosphate_.M.Hm5,Adenosine.monophosphate_.M.Hm6,Adenosine.monophosphate_.M.Hm7,Adenosine.monophosphate_.M.Hm8,Adenosine.monophosphate_.M.Hm9,Adenosine.monophosphate_.M.Hm10
84099,84098,2,7919.265625,10065.68164,0,normal,,l1normal,tracer_1,0,264.1581421,0,0,2186.565674,427.3553162,215.7521973,0,0,984.7151489,337.4585571,0,0,0,0,4220.998047,865.7748413,221.2843018,0,0,0,1717.719482,347.1397705,438.4195251,0,0,0,0,2157.521973,390.0135803,0,235.1145782,0,0,0,3984.500488,1587.714844,1550.373169,543.5296021,164.5802002,247.5618134,0,181.1765289,0,0,193.623764,0,0,0,0,186.7086334,0,0,0,0,0,0
84245,84244,2,7869.265625,10015.68164,0,normal,,l1normal,tracer_1,0,0,0,0,2957.3479,566.3926392,415.0663757,0,0,1085.225586,0,0,0,0,0,4948.369141,765.2786255,815.0001221,488.567688,0,0,2587.679443,882.0160522,910.1195068,0,0,0,0,2287.188721,0,0,244.283844,0,246.4456482,0,4135.53125,2114.244385,724.4343262,1111.167236,296.1671448,0,0,0,0,248.6074524,0,0,0,0,0,0,0,0,0,0,224.8276215,0
84246,84245,2,7919.265625,10015.68164,0,normal,,l1normal,tracer_1,0,155.4489441,0,0,1407.860229,475.166626,166.4736938,0,0,681.3294067,0,117.964798,0,0,0,3732.979492,798.1917114,565.569519,262.3889771,0,0,1109.0896,314.2052917,237.032074,0,0,0,0,1308.637573,248.0568237,0,0,0,0,0,3097.954102,1242.489014,590.9264526,308.6929321,269.0038452,250.2617645,0,114.6573715,0,0,0,144.4241943,0,0,0,0,239.2370148,0,0,0,0,0
84247,84246,2,7969.265625,10015.68164,0,normal,,l1normal,tracer_1,0,498.7345276,0,0,2356.922852,137.8989563,0,0,0,1082.506714,0,253.9638977,0,129.8548431,0,3749.702393,467.7072754,380.3712769,0,0,0,887.1499023,120.6615829,0,0,0,0,0,1173.290283,327.5100098,0,0,0,175.821167,0,2885.5354,796.3664551,941.1603394,458.5140076,271.2012634,197.6551666,163.1804199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84394,84393,2,7869.265625,9965.681641,0,normal,,l1normal,tracer_1,0,184.0019684,0,0,1200.071655,289.5325012,0,0,0,798.9203491,188.2969513,188.0608368,0,0,0,2579.409912,503.9759827,386.2688599,104.1775894,108.9129333,0,1022.15802,199.5609589,146.1192169,0,0,0,0,631.8303223,79.14791107,0,0,121.0895309,0,0,2109.257813,696.7721558,406.5631714,301.7091064,97.41281128,213.0905151,0,0,0,0,0,0,0,0,0,77.79495239,0,0,84.55973053,0,0,119.0600967
84395,84394,2,7919.265625,9965.681641,0,normal,,l1normal,tracer_1,0,226.8616638,0,0,1236.761963,289.0656738,120.0171356,0,0,661.5578613,0,0,0,0,0,1631.940308,398.8374329,103.185463,0,0,0,816.7019653,185.1483917,212.2254181,0,0,0,0,892.0786133,261.9886169,0,0,0,121.8582001,0,1459.9646,670.3395996,514.4636841,341.024292,94.40372467,0,87.81741333,82.69473267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84396,84395,2,7969.265625,9965.681641,0,normal,,l1normal,tracer_1,0,428.6317444,0,0,960.2822876,202.9715424,0,0,0,425.5657349,0,0,0,0,0,1555.09314,263.0658569,164.952713,103.0187912,0,0,624.244812,71.13201904,96.27351379,0,0,0,0,394.905365,0,0,0,0,72.35843658,0,1486.41394,502.8298035,410.2355347,228.1130371,174.7640228,91.98106384,99.95275879,0,0,0,0,0,0,0,0,0,0,0,0,0,68.06598663,0
84397,84396,2,8019.265625,9965.681641,0,normal,,l1normal,tracer_1,0,157.6928711,0,0,1584.263306,179.6965332,0,0,0,700.449707,0,0,0,0,0,2269.127197,282.380249,214.5356445,131.1051178,47.57368851,0,825.137146,120.1032944,163.1937866,0,0,0,0,902.1499023,190.698349,0,0,0,139.3316498,0,2584.512939,1443.98999,297.4004822,268.6279602,22.53245735,188.8647156,0,0,0,0,0,0,0,0,0,0,101.7669144,110.9351044,0,0,0,0
84543,84542,2,7869.265625,9915.681641,0,normal,,l1normal,tracer_1,0,72.60496521,0,0,1240.38562,204.3921204,0,0,0,696.1535034,0,0,0,0,0,2975.583252,397.191864,324.5869141,98.2302475,0,0,1209.879395,410.0045166,159.852951,0,0,0,0,1092.735229,158.6326904,0,0,0,127.5162811,0,1689.438232,885.2924805,314.8638306,170.8352051,157.4124451,178.7668457,133.2638855,104.9416275,0,0,89.20622253,71.99484253,90.90873718,0,0,0,0,0,0,0,0,0
84544,84543,2,7919.265625,9915.681641,0,normal,,l1normal,tracer_1,0,282.9797974,0,0,1601.251587,182.9015808,0,0,0,952.4686279,0,0,140.3395844,0,0,2498.504639,785.6715698,277.2281799,120.7840652,0,0,957.0699463,272.6268921,0,0,0,0,0,1166.428955,0,0,0,0,0,0,2888.4646,923.7105103,694.7959595,469.3323669,0,250.7707214,180.6009369,0,0,157.5944519,140.3395844,0,0,0,0,0,0,0,0,0,0,0
